nbPerso = 3 nbBlock = 19
6, 1.3, -150, -9.5, 130, 58, 1.1, 1, 0, 173, 155, 55
1.8, 1.8, -145, -11.6, 135, 55.9, 0.8, 1, 0, 208, 108, 53
3, 1.7, -140, 0, 140, 56.5, 1, 1, 0, 197, 53, 53
150, 110, -220, -20, 0
200, 300, -40, -112.5, 0
10, 7, -115, -11, 0
20, 10, -80, -11, 0
70, 50, 20, 20, 0
90, 20, -30, 50, 0
3, 8, -8, -4, 1
3, 8, -5, 53.5, 0
3, 8, -17, 53.5, 2
50, 80, 0, 110, 0
90, 80, 150, 10, 0
40, 80, 80, 0, 0
2, 6, 50, 54, 3
2, 6, 105, 54, 4
9, 10, 120, 62, 0
10, 6, 122, 71, 0
30, 10, 50, 30, 0
30, 10, 60, 20, 0
30, 10, 70, 10, 0
300, 100, 200, 20, 0
