nbPerso = 3 nbBlock = 21
6, 1.3, -150, -9.5, -80, 54.4, 1.1, 1, 0, 173, 155, 55
1.8, 1.8, -145, -11.6, -75, 52.3, 0.8, 1, 0, 208, 108, 53
3, 1.7, -140, 0, -70, 53, 1, 1, 0, 197, 53, 53
300, 110, -220, -20, 0
200, 300, -40, -112.5, 0
300, 110, 0, -20, 0
5, 5, -100, 10, 0
5, 5, -110, 5, 0
5, 5, -120, 0, 0
5, 5, -100, 35, 0
5, 5, -130, -10, 0
3, 30, -70, 50, 0
5, 5, -140, 30, 0
5, 5, -150, 15, 0
5, 5, -110, 40, 0
5, 5, -115, 20, 0
5, 5, -120, 30, 0
5, 5, -150, 35, 0
5, 5, -140, 45, 0
5, 5, -100, 50, 0
5, 5, -80, 35, 0
5, 5, -70, 25, 0
5, 5, -90, 10, 0
5, 5, -70, 0, 0
5, 5, -100, 0, 0
